sales_sk,datetime_sk,customer_sk,product_sk,store_sk,quantity,total_amount,,,,,,,,
50,1/1/2024,12566,8,26,2,9,,,,,,,,
51,1/1/2024,11496,18,1,2,7,,,,,,,,
52,1/1/2024,11349,1,28,1,3,,,,,,,,
53,1/1/2024,13137,15,33,1,3,,,,,,,,
54,1/1/2024,12655,25,3,2,8,,,,,,,,
55,1/1/2024,5870,28,31,5,24,,,,,,,,
56,1/1/2024,12481,1,17,1,3,,,,,,,,
57,1/1/2024,2913,12,7,3,15,,,,,,,,
58,1/1/2024,4247,13,5,2,11,,,,,,,,
59,1/1/2024,5119,27,8,1,4.5,,,,,,,,
60,1/1/2024,7218,28,39,2,9.6,,,,,,,,
61,1/1/2024,6089,20,1,2,7,,,,,,,,
62,1/1/2024,12875,23,12,2,8,,,,,,,,
63,1/1/2024,1380,9,10,1,5.5,,,,,,,,
64,1/1/2024,663,15,13,1,3,,,,,,,,
65,1/1/2024,10603,18,12,2,7,,,,,,,,
66,1/1/2024,7795,18,29,2,7,,,,,,,,
67,1/1/2024,10115,21,18,1,3.5,,,,,,,,
68,1/1/2024,14458,15,18,1,3,,,,,,,,
69,1/1/2024,10151,4,31,3,13.5,,,,,,,,
70,1/1/2024,4750,11,21,3,11.4,,,,,,,,
71,1/1/2024,8017,12,27,3,15,,,,,,,,
72,1/1/2024,12986,9,17,1,5.5,,,,,,,,
73,1/1/2024,5608,16,21,6,19.2,,,,,,,,
74,1/1/2024,3835,29,2,1,4.8,,,,,,,,
75,1/1/2024,8748,21,7,4,14,,,,,,,,
76,1/1/2024,11601,5,29,2,8,,,,,,,,
77,1/1/2024,9419,15,13,1,3,,,,,,,,
78,1/1/2024,6651,8,18,2,9,,,,,,,,
79,1/1/2024,7462,27,39,5,22.5,,,,,,,,
80,1/1/2024,9417,6,2,2,10,,,,,,,,
81,1/1/2024,5999,4,31,2,9,,,,,,,,
82,1/1/2024,363,2,31,4,14,,,,,,,,
83,1/1/2024,897,17,2,1,4.5,,,,,,,,
84,1/1/2024,12401,13,20,3,16.5,,,,,,,,
85,1/1/2024,2317,17,13,3,13.5,,,,,,,,
86,1/1/2024,10189,6,10,2,10,,,,,,,,
87,1/1/2024,189,23,35,1,4,,,,,,,,
88,1/1/2024,12250,21,11,2,7,,,,,,,,
89,1/1/2024,10987,25,14,1,4,,,,,,,,
90,1/1/2024,11294,5,3,2,8,,,,,,,,
91,1/1/2024,10820,15,38,2,6,,,,,,,,
92,1/1/2024,8007,4,29,1,4.5,,,,,,,,
93,1/1/2024,7289,23,16,3,12,,,,,,,,
94,1/1/2024,11825,2,2,2,7,,,,,,,,
95,1/1/2024,10205,21,15,1,3.5,,,,,,,,
96,1/1/2024,12943,21,37,1,3.5,,,,,,,,
97,1/1/2024,12882,27,28,2,9,,,,,,,,
98,1/1/2024,1797,1,13,1,3,,,,,,,,
99,1/1/2024,655,27,28,1,4.5,,,,,,,,
100,1/1/2024,1479,17,10,2,9,,,,,,,,
101,1/1/2024,3326,2,20,1,3.5,,,,,,,,
102,1/1/2024,13476,23,6,2,8,,,,,,,,
103,1/1/2024,6940,2,21,1,3.5,,,,,,,,
104,1/1/2024,13628,15,36,2,6,,,,,,,,
105,1/1/2024,6892,2,32,1,3.5,,,,,,,,
106,1/1/2024,9839,22,13,3,12,,,,,,,,
107,1/1/2024,4138,30,31,1,5,,,,,,,,
108,1/1/2024,8358,9,31,2,11,,,,,,,,
109,1/1/2024,1259,17,36,1,4.5,,,,,,,,
110,1/1/2024,14497,23,7,1,4,,,,,,,,
111,1/1/2024,506,11,20,1,3.8,,,,,,,,
112,1/1/2024,6878,23,14,3,12,,,,,,,,
113,1/1/2024,9713,14,14,3,9,,,,,,,,
114,1/1/2024,9988,2,27,2,7,,,,,,,,
115,1/1/2024,8455,18,40,1,3.5,,,,,,,,
116,1/1/2024,12357,16,14,2,6.4,,,,,,,,
117,1/1/2024,6325,25,19,1,4,,,,,,,,
118,1/1/2024,14272,15,39,1,3,,,,,,,,
119,1/1/2024,10115,16,21,1,3.2,,,,,,,,
120,1/1/2024,1812,27,25,3,13.5,,,,,,,,
121,1/1/2024,10089,28,15,3,14.4,,,,,,,,
122,1/1/2024,4613,5,6,1,4,,,,,,,,
123,1/1/2024,1288,16,24,1,3.2,,,,,,,,
124,1/1/2024,12839,4,17,1,4.5,,,,,,,,
125,1/1/2024,7278,2,13,2,7,,,,,,,,
126,1/1/2024,4306,19,39,1,5,,,,,,,,
127,1/1/2024,11389,20,16,1,3.5,,,,,,,,
128,1/1/2024,5881,25,31,2,8,,,,,,,,
129,1/1/2024,1831,21,31,3,10.5,,,,,,,,
130,1/1/2024,3417,23,19,1,4,,,,,,,,
131,1/1/2024,8866,3,2,2,8,,,,,,,,
132,1/1/2024,5229,5,3,3,12,,,,,,,,
133,1/1/2024,4212,14,22,2,6,,,,,,,,
134,1/1/2024,12947,2,9,1,3.5,,,,,,,,
135,1/1/2024,13337,13,39,1,5.5,,,,,,,,
136,1/1/2024,5176,5,10,1,4,,,,,,,,
137,1/1/2024,2717,19,31,2,10,,,,,,,,
138,1/1/2024,2304,20,38,2,7,,,,,,,,
139,1/1/2024,9761,13,10,2,11,,,,,,,,
140,1/1/2024,4783,24,40,2,8.4,,,,,,,,
141,1/1/2024,6480,17,23,1,4.5,,,,,,,,
142,1/1/2024,9003,9,29,2,11,,,,,,,,
143,1/1/2024,12053,23,9,1,4,,,,,,,,
144,1/1/2024,3210,14,15,1,3,,,,,,,,
145,1/1/2024,3642,23,1,2,8,,,,,,,,
146,1/1/2024,5896,2,31,2,7,,,,,,,,
147,1/1/2024,3831,24,14,2,8.4,,,,,,,,
148,1/1/2024,11788,18,16,1,3.5,,,,,,,,
149,1/1/2024,8438,11,28,2,7.6,,,,,,,,
150,1/1/2024,13365,10,33,1,6.5,,,,,,,,
151,1/1/2024,11522,15,37,1,3,,,,,,,,
152,1/1/2024,841,4,34,4,18,,,,,,,,
153,1/1/2024,7868,29,6,1,4.8,,,,,,,,
154,1/1/2024,6743,11,31,1,3.8,,,,,,,,
155,1/1/2024,3796,7,8,2,8,,,,,,,,
156,1/1/2024,10591,20,17,4,14,,,,,,,,
157,1/1/2024,3607,21,13,1,3.5,,,,,,,,
158,1/1/2024,6819,14,21,1,3,,,,,,,,
159,1/1/2024,14715,21,36,2,7,,,,,,,,
160,1/1/2024,2919,2,6,5,17.5,,,,,,,,
161,1/1/2024,12059,3,21,4,16,,,,,,,,
162,1/1/2024,2066,22,2,2,8,,,,,,,,
163,1/1/2024,4473,19,14,3,15,,,,,,,,
164,1/1/2024,7316,11,13,5,19,,,,,,,,
165,1/1/2024,13086,3,22,1,4,,,,,,,,
166,1/1/2024,9037,19,3,3,15,,,,,,,,
167,1/1/2024,5883,2,2,1,3.5,,,,,,,,
168,1/1/2024,474,29,39,1,4.8,,,,,,,,
169,1/1/2024,5048,1,12,2,6,,,,,,,,
170,1/1/2024,474,25,32,2,8,,,,,,,,
171,1/1/2024,8609,8,33,1,4.5,,,,,,,,
172,1/1/2024,11981,19,40,6,30,,,,,,,,
173,1/1/2024,8901,23,2,2,8,,,,,,,,
174,1/1/2024,6164,7,14,2,8,,,,,,,,
175,1/1/2024,8937,14,14,1,3,,,,,,,,
176,1/1/2024,1959,29,3,2,9.6,,,,,,,,
177,1/1/2024,1253,10,19,5,32.5,,,,,,,,
178,1/1/2024,2126,29,20,2,9.6,,,,,,,,
179,1/1/2024,6410,19,39,1,5,,,,,,,,
180,1/1/2024,1233,27,4,1,4.5,,,,,,,,
181,1/1/2024,3534,17,9,4,18,,,,,,,,
182,1/1/2024,3562,6,9,5,25,,,,,,,,
183,1/1/2024,2302,27,3,1,4.5,,,,,,,,
184,1/1/2024,5956,30,2,1,5,,,,,,,,
185,1/1/2024,1464,15,19,3,9,,,,,,,,
186,1/1/2024,5153,29,8,1,4.8,,,,,,,,
187,1/1/2024,10462,30,25,2,10,,,,,,,,
188,1/1/2024,3174,4,29,5,22.5,,,,,,,,
189,1/1/2024,14710,27,6,1,4.5,,,,,,,,
190,1/1/2024,12716,12,12,2,10,,,,,,,,
191,1/1/2024,12974,25,34,3,12,,,,,,,,
192,1/1/2024,3703,5,34,3,12,,,,,,,,
193,1/1/2024,2968,30,25,3,15,,,,,,,,
194,1/1/2024,13281,13,10,1,5.5,,,,,,,,
195,1/1/2024,14373,30,21,4,20,,,,,,,,
196,1/1/2024,5355,1,6,1,3,,,,,,,,
197,1/1/2024,11503,20,25,1,3.5,,,,,,,,
198,1/1/2024,11453,4,14,1,4.5,,,,,,,,
199,1/1/2024,3820,4,6,3,13.5,,,,,,,,
200,1/1/2024,465,7,39,3,12,,,,,,,,
201,1/1/2024,6314,2,40,2,7,,,,,,,,
202,1/1/2024,5729,30,26,2,10,,,,,,,,
203,1/1/2024,9867,19,17,1,5,,,,,,,,
204,1/1/2024,11926,4,7,1,4.5,,,,,,,,
205,1/1/2024,10194,22,40,2,8,,,,,,,,
206,1/1/2024,12053,15,3,2,6,,,,,,,,
207,1/1/2024,7548,16,2,1,3.2,,,,,,,,
208,1/1/2024,13124,27,25,2,9,,,,,,,,
209,1/1/2024,8124,8,8,1,4.5,,,,,,,,
210,1/1/2024,3835,8,11,1,4.5,,,,,,,,
211,1/1/2024,1479,7,6,1,4,,,,,,,,
212,1/1/2024,6727,16,3,1,3.2,,,,,,,,
213,1/1/2024,9129,23,13,1,4,,,,,,,,
214,1/1/2024,12655,17,30,1,4.5,,,,,,,,
215,1/1/2024,1084,22,40,1,4,,,,,,,,
216,1/1/2024,11432,30,32,2,10,,,,,,,,
217,1/1/2024,5801,5,30,2,8,,,,,,,,
218,1/1/2024,11093,14,13,6,18,,,,,,,,
219,1/1/2024,11142,14,20,1,3,,,,,,,,
220,1/1/2024,11146,5,20,2,8,,,,,,,,
221,1/1/2024,9355,28,31,1,4.8,,,,,,,,
222,1/1/2024,6894,4,2,2,9,,,,,,,,
223,1/1/2024,5044,4,23,1,4.5,,,,,,,,
224,1/1/2024,6626,21,6,2,7,,,,,,,,
225,1/1/2024,5898,5,5,1,4,,,,,,,,
226,1/1/2024,11314,16,36,2,6.4,,,,,,,,
227,1/1/2024,2317,20,21,1,3.5,,,,,,,,
228,1/1/2024,8397,12,14,6,30,,,,,,,,
229,1/1/2024,11384,4,7,2,9,,,,,,,,
230,1/1/2024,670,27,38,1,4.5,,,,,,,,
231,1/1/2024,5497,4,12,2,9,,,,,,,,
232,1/1/2024,10453,17,10,1,4.5,,,,,,,,
233,1/1/2024,13363,18,1,1,3.5,,,,,,,,
234,1/1/2024,13567,16,10,2,6.4,,,,,,,,
235,1/1/2024,5264,17,36,4,18,,,,,,,,
236,1/1/2024,7525,10,10,5,32.5,,,,,,,,
237,1/1/2024,4893,4,13,1,4.5,,,,,,,,
238,1/1/2024,8937,15,25,3,9,,,,,,,,
239,1/1/2024,2293,20,26,1,3.5,,,,,,,,
240,1/1/2024,5961,8,10,5,22.5,,,,,,,,
241,1/1/2024,7503,20,24,1,3.5,,,,,,,,
242,1/1/2024,425,8,31,1,4.5,,,,,,,,
243,1/1/2024,2270,15,36,2,6,,,,,,,,
244,1/1/2024,13662,28,39,2,9.6,,,,,,,,
245,1/1/2024,9151,17,12,4,18,,,,,,,,
246,1/1/2024,5415,7,30,1,4,,,,,,,,
247,1/1/2024,6914,4,31,3,13.5,,,,,,,,
248,1/1/2024,11636,4,34,1,4.5,,,,,,,,
249,1/1/2024,3322,27,8,2,9,,,,,,,,
250,1/1/2024,2167,1,10,1,3,,,,,,,,
251,1/1/2024,3108,6,34,2,10,,,,,,,,
252,1/1/2024,14719,19,20,2,10,,,,,,,,
253,1/1/2024,4921,7,37,1,4,,,,,,,,
254,1/1/2024,12148,11,7,5,19,,,,,,,,
255,1/1/2024,2631,28,28,1,4.8,,,,,,,,
256,1/1/2024,7816,8,10,2,9,,,,,,,,
257,1/1/2024,3668,23,19,1,4,,,,,,,,
258,1/1/2024,9326,22,35,1,4,,,,,,,,
259,1/1/2024,4614,20,35,1,3.5,,,,,,,,
260,1/1/2024,10092,5,7,3,12,,,,,,,,
261,1/1/2024,14068,21,35,4,14,,,,,,,,
262,1/1/2024,4091,22,37,4,16,,,,,,,,
263,1/1/2024,14837,26,6,2,9,,,,,,,,
264,1/1/2024,8111,30,37,1,5,,,,,,,,
265,1/1/2024,10921,24,3,2,8.4,,,,,,,,
266,1/1/2024,6984,28,10,1,4.8,,,,,,,,
267,1/1/2024,4061,3,28,4,16,,,,,,,,
268,1/1/2024,6765,19,21,1,5,,,,,,,,
269,1/1/2024,2058,1,1,5,15,,,,,,,,
270,1/1/2024,1867,25,40,1,4,,,,,,,,
271,1/1/2024,525,18,40,2,7,,,,,,,,
272,1/1/2024,908,25,15,2,8,,,,,,,,
273,1/2/2024,5419,7,25,2,8,,,,,,,,
274,1/2/2024,8723,6,21,1,5,,,,,,,,
275,1/2/2024,5642,10,17,1,6.5,,,,,,,,
276,1/2/2024,13663,11,28,5,19,,,,,,,,
277,1/2/2024,12084,4,28,1,4.5,,,,,,,,
278,1/2/2024,10825,6,9,1,5,,,,,,,,
279,1/2/2024,14633,3,2,2,8,,,,,,,,
280,1/2/2024,9748,27,1,2,9,,,,,,,,
281,1/2/2024,9560,11,39,3,11.4,,,,,,,,
282,1/2/2024,2304,17,20,2,9,,,,,,,,
283,1/2/2024,3946,1,20,1,3,,,,,,,,
284,1/2/2024,7202,19,24,1,5,,,,,,,,
285,1/2/2024,3356,25,36,1,4,,,,,,,,
286,1/2/2024,3979,22,35,3,12,,,,,,,,
287,1/2/2024,11463,7,17,1,4,,,,,,,,
288,1/2/2024,12375,11,17,2,7.6,,,,,,,,
289,1/2/2024,4563,4,31,1,4.5,,,,,,,,
290,1/2/2024,12052,14,8,6,18,,,,,,,,
291,1/2/2024,12711,4,2,1,4.5,,,,,,,,
292,1/2/2024,9253,23,7,1,4,,,,,,,,
293,1/2/2024,10495,4,29,1,4.5,,,,,,,,
294,1/2/2024,4276,2,24,1,3.5,,,,,,,,
295,1/2/2024,3725,7,4,1,4,,,,,,,,
296,1/2/2024,14026,23,8,3,12,,,,,,,,
297,1/2/2024,10594,13,1,1,5.5,,,,,,,,
298,1/2/2024,7494,15,20,4,12,,,,,,,,
299,1/2/2024,1929,25,28,4,16,,,,,,,,
300,1/2/2024,8502,30,35,2,10,,,,,,,,
301,1/2/2024,3461,16,7,4,12.8,,,,,,,,
302,1/2/2024,5999,9,1,2,11,,,,,,,,
303,1/2/2024,13768,9,36,1,5.5,,,,,,,,
304,1/2/2024,2278,19,15,2,10,,,,,,,,
305,1/2/2024,13895,27,17,3,13.5,,,,,,,,
306,1/2/2024,9831,21,4,3,10.5,,,,,,,,
307,1/2/2024,13567,19,6,2,10,,,,,,,,
308,1/2/2024,4396,28,6,5,24,,,,,,,,
309,1/2/2024,498,17,11,2,9,,,,,,,,
310,1/2/2024,335,8,23,4,18,,,,,,,,
311,1/2/2024,2847,15,2,2,6,,,,,,,,
312,1/2/2024,462,8,31,1,4.5,,,,,,,,
313,1/2/2024,708,3,2,3,12,,,,,,,,
314,1/2/2024,4786,5,15,2,8,,,,,,,,
315,1/2/2024,4213,22,40,1,4,,,,,,,,
316,1/2/2024,12989,13,39,2,11,,,,,,,,
317,1/2/2024,10792,19,15,4,20,,,,,,,,
318,1/2/2024,3319,6,25,1,5,,,,,,,,
319,1/2/2024,7732,11,10,4,15.2,,,,,,,,
320,1/2/2024,9023,7,9,1,4,,,,,,,,
321,1/2/2024,11154,8,17,1,4.5,,,,,,,,
322,1/2/2024,13743,4,37,2,9,,,,,,,,
323,1/2/2024,10159,4,17,1,4.5,,,,,,,,
324,1/2/2024,9321,7,17,2,8,,,,,,,,
325,1/2/2024,2731,16,28,1,3.2,,,,,,,,
326,1/2/2024,9220,1,32,2,6,,,,,,,,
327,1/2/2024,14847,4,26,2,9,,,,,,,,
328,1/2/2024,7289,3,33,2,8,,,,,,,,
329,1/2/2024,8024,16,13,1,3.2,,,,,,,,
330,1/2/2024,5252,25,31,2,8,,,,,,,,
331,1/2/2024,12946,17,9,2,9,,,,,,,,
332,1/2/2024,11365,1,1,1,3,,,,,,,,
333,1/2/2024,12810,13,2,3,16.5,,,,,,,,
334,1/2/2024,12671,14,6,2,6,,,,,,,,
335,1/2/2024,9972,7,7,1,4,,,,,,,,
336,1/2/2024,2431,15,29,3,9,,,,,,,,
337,1/2/2024,3609,14,18,2,6,,,,,,,,
338,1/2/2024,1331,6,32,2,10,,,,,,,,
339,1/2/2024,4196,27,20,1,4.5,,,,,,,,
340,1/2/2024,11601,21,36,2,7,,,,,,,,
341,1/2/2024,1515,24,6,6,25.2,,,,,,,,
342,1/2/2024,2124,27,9,1,4.5,,,,,,,,
343,1/2/2024,1710,7,21,2,8,,,,,,,,
344,1/2/2024,10115,2,15,2,7,,,,,,,,
345,1/2/2024,184,22,25,1,4,,,,,,,,
346,1/2/2024,181,5,7,2,8,,,,,,,,
347,1/2/2024,11807,23,31,5,20,,,,,,,,
348,1/2/2024,2519,20,13,1,3.5,,,,,,,,
349,1/2/2024,13092,27,10,1,4.5,,,,,,,,
350,1/2/2024,1043,8,26,1,4.5,,,,,,,,
351,1/2/2024,6785,24,14,4,16.8,,,,,,,,
352,1/2/2024,3695,21,13,2,7,,,,,,,,
353,1/2/2024,10395,8,18,3,13.5,,,,,,,,
354,1/2/2024,5593,11,10,1,3.8,,,,,,,,
355,1/2/2024,6816,19,10,1,5,,,,,,,,
356,1/2/2024,803,23,4,1,4,,,,,,,,
357,1/2/2024,7289,15,16,1,3,,,,,,,,
358,1/2/2024,12668,17,26,3,13.5,,,,,,,,
359,1/2/2024,5837,22,37,1,4,,,,,,,,
360,1/2/2024,6905,28,25,1,4.8,,,,,,,,
361,1/2/2024,12893,8,29,1,4.5,,,,,,,,
362,1/2/2024,14100,6,17,2,10,,,,,,,,
363,1/2/2024,13384,23,33,3,12,,,,,,,,
364,1/2/2024,12114,16,15,1,3.2,,,,,,,,
365,1/2/2024,3029,7,34,4,16,,,,,,,,
366,1/2/2024,7075,12,32,5,25,,,,,,,,
367,1/2/2024,6276,30,3,4,20,,,,,,,,
368,1/2/2024,7604,5,8,5,20,,,,,,,,
369,1/2/2024,13451,19,20,1,5,,,,,,,,
370,1/2/2024,6109,7,25,2,8,,,,,,,,
371,1/2/2024,6303,3,24,1,4,,,,,,,,
372,1/2/2024,14624,12,10,1,5,,,,,,,,
373,1/2/2024,3384,30,2,5,25,,,,,,,,
374,1/2/2024,6220,16,11,2,6.4,,,,,,,,
375,1/2/2024,14451,14,20,1,3,,,,,,,,
376,1/2/2024,8805,11,20,1,3.8,,,,,,,,
377,1/2/2024,12549,1,7,2,6,,,,,,,,
378,1/2/2024,14946,15,7,1,3,,,,,,,,
379,1/2/2024,523,4,5,5,22.5,,,,,,,,
380,1/2/2024,985,22,7,3,12,,,,,,,,
381,1/2/2024,340,14,6,1,3,,,,,,,,
382,1/2/2024,8552,17,15,3,13.5,,,,,,,,
383,1/2/2024,8371,14,26,2,6,,,,,,,,
384,1/2/2024,9442,1,32,2,6,,,,,,,,
385,1/2/2024,2288,24,3,1,4.2,,,,,,,,
386,1/2/2024,753,20,2,1,3.5,,,,,,,,
387,1/2/2024,5666,20,39,2,7,,,,,,,,
388,1/2/2024,14747,3,10,1,4,,,,,,,,
389,1/2/2024,10250,28,25,1,4.8,,,,,,,,
390,1/2/2024,1094,22,19,1,4,,,,,,,,
391,1/2/2024,6458,7,30,1,4,,,,,,,,
392,1/2/2024,14100,17,11,1,4.5,,,,,,,,
393,1/2/2024,9748,8,31,1,4.5,,,,,,,,
394,1/2/2024,6596,7,21,1,4,,,,,,,,
395,1/2/2024,3247,6,12,3,15,,,,,,,,
396,1/2/2024,730,29,29,1,4.8,,,,,,,,
397,1/2/2024,6830,20,26,2,7,,,,,,,,
398,1/2/2024,8658,3,32,2,8,,,,,,,,
399,1/2/2024,13003,15,10,6,18,,,,,,,,
400,1/2/2024,7587,1,17,1,3,,,,,,,,
401,1/2/2024,4833,14,36,5,15,,,,,,,,
402,1/2/2024,1460,9,21,2,11,,,,,,,,
403,1/2/2024,6445,28,21,3,14.4,,,,,,,,
404,1/2/2024,8404,3,11,1,4,,,,,,,,
405,1/2/2024,8916,6,31,1,5,,,,,,,,
406,1/2/2024,9613,5,8,1,4,,,,,,,,
407,1/2/2024,8593,5,39,3,12,,,,,,,,
408,1/2/2024,7432,29,7,1,4.8,,,,,,,,
409,1/2/2024,5473,3,29,1,4,,,,,,,,
410,1/2/2024,6,21,40,4,14,,,,,,,,
411,1/2/2024,4474,17,10,3,13.5,,,,,,,,
412,1/2/2024,2932,15,4,2,6,,,,,,,,
413,1/2/2024,2536,20,35,1,3.5,,,,,,,,
414,1/2/2024,10897,5,2,1,4,,,,,,,,
415,1/2/2024,11492,11,4,3,11.4,,,,,,,,
416,1/2/2024,13637,21,9,2,7,,,,,,,,
417,1/2/2024,7011,1,18,1,3,,,,,,,,
418,1/2/2024,7246,28,17,4,19.2,,,,,,,,
419,1/2/2024,12506,15,7,3,9,,,,,,,,
420,1/2/2024,12443,7,7,1,4,,,,,,,,
421,1/2/2024,14710,2,16,1,3.5,,,,,,,,
422,1/2/2024,13541,14,11,2,6,,,,,,,,
423,1/2/2024,1790,17,3,1,4.5,,,,,,,,
424,1/2/2024,6686,20,21,2,7,,,,,,,,
425,1/2/2024,13541,2,31,2,7,,,,,,,,
426,1/2/2024,8520,15,20,2,6,,,,,,,,
427,1/2/2024,5281,27,10,1,4.5,,,,,,,,
428,1/2/2024,14828,9,14,1,5.5,,,,,,,,
429,1/2/2024,4752,13,36,1,5.5,,,,,,,,
430,1/2/2024,7563,6,16,2,10,,,,,,,,
431,1/2/2024,13539,2,13,1,3.5,,,,,,,,
432,1/2/2024,13349,5,7,1,4,,,,,,,,
433,1/2/2024,2966,7,3,2,8,,,,,,,,
434,1/2/2024,4473,14,18,4,12,,,,,,,,
435,1/2/2024,13940,29,7,1,4.8,,,,,,,,
436,1/2/2024,8318,16,13,1,3.2,,,,,,,,
437,1/2/2024,9673,6,32,1,5,,,,,,,,
438,1/2/2024,1660,4,33,6,27,,,,,,,,
439,1/2/2024,6,16,37,3,9.6,,,,,,,,
440,1/2/2024,7057,30,13,3,15,,,,,,,,
441,1/2/2024,11117,3,4,1,4,,,,,,,,
442,1/2/2024,1127,24,6,4,16.8,,,,,,,,
443,1/2/2024,865,17,37,5,22.5,,,,,,,,
444,1/2/2024,1867,14,14,3,9,,,,,,,,
445,1/2/2024,10453,8,4,1,4.5,,,,,,,,
446,1/2/2024,11426,6,39,1,5,,,,,,,,
447,1/2/2024,1375,24,14,2,8.4,,,,,,,,
448,1/2/2024,3777,21,10,2,7,,,,,,,,
449,1/2/2024,8644,17,17,4,18,,,,,,,,
450,1/2/2024,1917,21,19,1,3.5,,,,,,,,
451,1/2/2024,9106,7,10,3,12,,,,,,,,
452,1/2/2024,2109,13,1,4,22,,,,,,,,
453,1/2/2024,11314,10,29,3,19.5,,,,,,,,
454,1/2/2024,10431,3,21,1,4,,,,,,,,
455,1/2/2024,11642,28,24,1,4.8,,,,,,,,
456,1/2/2024,8693,6,31,2,10,,,,,,,,
457,1/2/2024,7767,12,9,2,10,,,,,,,,
458,1/2/2024,4177,13,17,1,5.5,,,,,,,,
459,1/2/2024,13752,14,2,2,6,,,,,,,,
460,1/2/2024,6530,16,14,2,6.4,,,,,,,,
461,1/2/2024,2908,15,6,1,3,,,,,,,,
462,1/2/2024,2597,20,10,1,3.5,,,,,,,,
463,1/2/2024,6150,4,19,2,9,,,,,,,,
464,1/2/2024,2673,19,39,2,10,,,,,,,,
465,1/2/2024,3702,1,40,2,6,,,,,,,,
466,1/2/2024,14460,25,38,1,4,,,,,,,,
467,1/2/2024,12011,5,3,2,8,,,,,,,,
468,1/2/2024,2739,29,22,2,9.6,,,,,,,,
469,1/2/2024,5913,12,9,1,5,,,,,,,,
470,1/2/2024,8681,18,12,3,10.5,,,,,,,,
471,1/2/2024,12616,21,23,4,14,,,,,,,,
472,1/2/2024,10931,21,25,1,3.5,,,,,,,,
473,1/2/2024,981,5,10,1,4,,,,,,,,
474,1/2/2024,746,8,10,2,9,,,,,,,,
475,1/2/2024,1346,23,13,3,12,,,,,,,,
476,1/2/2024,10039,1,24,1,3,,,,,,,,
477,1/2/2024,1878,4,4,5,22.5,,,,,,,,
478,1/2/2024,1228,2,9,2,7,,,,,,,,
479,1/2/2024,3167,5,13,1,4,,,,,,,,
480,1/2/2024,3607,11,32,1,3.8,,,,,,,,
481,1/2/2024,10031,15,11,2,6,,,,,,,,
482,1/2/2024,14065,2,10,1,3.5,,,,,,,,
483,1/2/2024,9479,28,4,5,24,,,,,,,,
484,1/2/2024,5530,19,22,3,15,,,,,,,,
485,1/2/2024,424,5,13,1,4,,,,,,,,
